symbol,type,side,units,entry_price,entry_timestamp,exit_price,exit_timestamp,realized_pnl,is_closed
FARTCOINUSDT,linear,short,100.35122930255895,0.9965,2025-01-01 00:00:00+00:00,1.0107,2025-01-15 00:00:00+00:00,-1.424987456096325,True
BTCUSDT,spot,long,0.001059394418368628,94393.55,2025-01-01 00:00:00+00:00,96888.41,2025-01-15 00:00:00+00:00,2.6430407586111557,True
GRIFFAINUSDT,linear,short,266.17690116851657,0.37569,2025-01-01 00:00:00+00:00,0.45749,2025-01-08 00:00:00+00:00,-21.773270515584652,True
BTCUSDT,spot,long,0.001059394418368628,94393.55,2025-01-01 00:00:00+00:00,97255.01,2025-01-08 00:00:00+00:00,3.031414752385085,True
AIXBTUSDT,linear,short,157.87811809283235,0.6334,2025-01-01 00:00:00+00:00,0.4689,2025-01-08 00:00:00+00:00,25.970950426270917,True
BTCUSDT,spot,long,0.001059394418368628,94393.55,2025-01-01 00:00:00+00:00,97255.01,2025-01-08 00:00:00+00:00,3.031414752385085,True
HIPPOUSDT,linear,short,10582.010582010582,0.00945,2025-01-01 00:00:00+00:00,0.00918,2025-01-08 00:00:00+00:00,2.857142857142851,True
BTCUSDT,spot,long,0.001059394418368628,94393.55,2025-01-01 00:00:00+00:00,97255.01,2025-01-08 00:00:00+00:00,3.031414752385085,True
1000MUMUUSDT,linear,short,3581.4053434567727,0.027922,2025-01-01 00:00:00+00:00,0.02485,2025-01-08 00:00:00+00:00,11.0020772150992,True
BTCUSDT,spot,long,0.001059394418368628,94393.55,2025-01-01 00:00:00+00:00,97255.01,2025-01-08 00:00:00+00:00,3.031414752385085,True
COWUSDT,linear,short,93.19726327460371,0.7935,2025-01-08 00:00:00+00:00,0.7843,2025-01-15 00:00:00+00:00,0.8574148221263529,True
BTCUSDT,spot,long,0.0007603929957788093,97255.01,2025-01-08 00:00:00+00:00,96888.41,2025-01-15 00:00:00+00:00,-0.2787600722525048,True
SWARMSUSDT,linear,short,166.3824969253224,0.44447,2025-01-08 00:00:00+00:00,0.22042,2025-01-15 00:00:00+00:00,37.27799843611848,True
BTCUSDT,spot,long,0.0007603929957788093,97255.01,2025-01-08 00:00:00+00:00,96888.41,2025-01-15 00:00:00+00:00,-0.2787600722525048,True
MAGICUSDT,linear,short,136.54362704652522,0.5416,2025-01-08 00:00:00+00:00,0.3178,2025-01-29 00:00:00+00:00,30.558463733012335,True
MAGICUSDT,spot,long,136.36737674423392,0.5423,2025-01-08 00:00:00+00:00,0.319,2025-01-29 00:00:00+00:00,-30.450835226987433,True
ORCAUSDT,linear,short,19.35410322125047,3.821,2025-01-08 00:00:00+00:00,3.396,2025-01-15 00:00:00+00:00,8.225493869031455,True
BTCUSDT,spot,long,0.0007603929957788093,97255.01,2025-01-08 00:00:00+00:00,96888.41,2025-01-15 00:00:00+00:00,-0.2787600722525048,True
HYPEUSDT,linear,short,2.2764717193328328,22.936,2025-01-15 00:00:00+00:00,22.465,2025-01-29 00:00:00+00:00,1.0722181798057644,True
